strategy,N,block_size,repetitions,runtime_ms,bandwidth_GBps,checksum
consecutive-write,256,0,512,0.212156,4.942,25296384.000
strided-write,256,0,256,0.443066,2.367,25296384.000
blocked-consecutive-write,256,4,1024,0.178873,5.862,25296384.000
blocked-strided-write,256,4,1024,0.119861,8.748,25296384.000
blocked-consecutive-write,256,8,2048,0.084710,12.378,25296384.000
blocked-strided-write,256,8,1024,0.139847,7.498,25296384.000
blocked-consecutive-write,256,16,4096,0.043931,23.869,25296384.000
blocked-strided-write,256,16,2048,0.074067,14.157,25296384.000
blocked-consecutive-write,256,24,4096,0.049189,21.317,25296384.000
blocked-strided-write,256,24,1024,0.154227,6.799,25296384.000
blocked-consecutive-write,256,32,2048,0.052019,20.158,25296384.000
blocked-strided-write,256,32,1024,0.147309,7.118,25296384.000
blocked-consecutive-write,256,64,2048,0.076893,13.637,25296384.000
blocked-strided-write,256,64,512,0.212615,4.932,25296384.000
blocked-consecutive-write,256,128,2048,0.089824,11.674,25296384.000
blocked-strided-write,256,128,512,0.382840,2.739,25296384.000
consecutive-write,512,0,128,1.083703,3.870,67370496.000
strided-write,512,0,128,1.200805,3.493,67370496.000
blocked-consecutive-write,512,4,512,0.257002,16.320,67370496.000
blocked-strided-write,512,4,256,0.425477,9.858,67370496.000
blocked-consecutive-write,512,8,512,0.219965,19.068,67370496.000
blocked-strided-write,512,8,256,0.553082,7.584,67370496.000
blocked-consecutive-write,512,16,512,0.244391,17.162,67370496.000
blocked-strided-write,512,16,256,0.776523,5.401,67370496.000
blocked-consecutive-write,512,24,512,0.349561,11.999,67370496.000
blocked-strided-write,512,24,256,0.642723,6.526,67370496.000
blocked-consecutive-write,512,32,512,0.303127,13.837,67370496.000
blocked-strided-write,512,32,256,0.607039,6.909,67370496.000
blocked-consecutive-write,512,64,512,0.357996,11.716,67370496.000
blocked-strided-write,512,64,256,0.722852,5.802,67370496.000
blocked-consecutive-write,512,128,256,0.422238,9.934,67370496.000
blocked-strided-write,512,128,128,1.106375,3.791,67370496.000
consecutive-write,1024,0,32,3.632000,4.619,523776.000
strided-write,1024,0,32,4.496812,3.731,523776.000
blocked-consecutive-write,1024,4,64,3.565266,4.706,523776.000
blocked-strided-write,1024,4,64,3.698734,4.536,523776.000
blocked-consecutive-write,1024,8,64,1.991656,8.424,523776.000
blocked-strided-write,1024,8,64,1.696359,9.890,523776.000
blocked-consecutive-write,1024,16,64,2.494187,6.727,523776.000
blocked-strided-write,1024,16,32,3.746438,4.478,523776.000
blocked-consecutive-write,1024,24,64,1.689297,9.931,523776.000
blocked-strided-write,1024,24,32,3.528875,4.754,523776.000
blocked-consecutive-write,1024,32,64,1.628062,10.305,523776.000
blocked-strided-write,1024,32,32,3.473469,4.830,523776.000
blocked-consecutive-write,1024,64,64,2.398797,6.994,523776.000
blocked-strided-write,1024,64,32,3.785438,4.432,523776.000
blocked-consecutive-write,1024,128,64,2.426625,6.914,523776.000
blocked-strided-write,1024,128,32,3.966875,4.229,523776.000
consecutive-write,2048,0,4,45.070250,1.489,1047552.000
strided-write,2048,0,4,42.913750,1.564,1047552.000
blocked-consecutive-write,2048,4,8,23.754750,2.825,1047552.000
blocked-strided-write,2048,4,8,14.726875,4.557,1047552.000
blocked-consecutive-write,2048,8,8,15.821000,4.242,1047552.000
blocked-strided-write,2048,8,16,9.086812,7.385,1047552.000
blocked-consecutive-write,2048,16,16,12.064312,5.563,1047552.000
blocked-strided-write,2048,16,8,16.875875,3.977,1047552.000
blocked-consecutive-write,2048,24,16,9.238688,7.264,1047552.000
blocked-strided-write,2048,24,8,15.525875,4.322,1047552.000
blocked-consecutive-write,2048,32,16,10.437375,6.430,1047552.000
blocked-strided-write,2048,32,8,16.618000,4.038,1047552.000
blocked-consecutive-write,2048,64,16,13.722938,4.890,1047552.000
blocked-strided-write,2048,64,8,14.024250,4.785,1047552.000
blocked-consecutive-write,2048,128,16,10.837312,6.192,1047552.000
blocked-strided-write,2048,128,8,15.112000,4.441,1047552.000
consecutive-write,4096,0,1,328.617000,0.817,2095104.000
strided-write,4096,0,1,262.539000,1.022,2095104.000
blocked-consecutive-write,4096,4,2,114.929500,2.336,2095104.000
blocked-strided-write,4096,4,2,74.633000,3.597,2095104.000
blocked-consecutive-write,4096,8,1,101.228000,2.652,2095104.000
blocked-strided-write,4096,8,2,60.140000,4.464,2095104.000
blocked-consecutive-write,4096,16,2,61.346000,4.376,2095104.000
blocked-strided-write,4096,16,1,145.194000,1.849,2095104.000
blocked-consecutive-write,4096,24,4,52.734000,5.090,2095104.000
blocked-strided-write,4096,24,2,77.195500,3.477,2095104.000
blocked-consecutive-write,4096,32,4,43.683250,6.145,2095104.000
blocked-strided-write,4096,32,2,68.053000,3.945,2095104.000
blocked-consecutive-write,4096,64,4,48.518000,5.533,2095104.000
blocked-strided-write,4096,64,2,76.331000,3.517,2095104.000
blocked-consecutive-write,4096,128,4,47.182500,5.689,2095104.000
blocked-strided-write,4096,128,2,71.846500,3.736,2095104.000
